key,agency,level,min,max
AAT,Administrative Appeals Tribunal,APS1,49577,54791
ABCC,Australian Building & Construction Commission,APS1,53986,56120
ABS,Australian Bureau of Statistics,APS1,47739,54389
ACCC,Australian Competition & Consumer Commission,APS1,51996,57472
ACIAR,Australian Centre for International Agricultural Research,APS1,50878,56042
ACIC,Australian Criminal Intelligence Commission,APS1,48985,54140
ACLEI,Australian Commission for Law Enforcement Integrity,APS1,49749,54983
ACMA,Australian Communications & Media Authority,APS1,49902,54996
ACQSC,Aged Care Quality & Safety Commission,APS1,48688,54681
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS1,49608,55714
ADHA,Australian Digital Health Agency,APS1,49467,55555
AEC,Australian Electoral Commission,APS1,49404,54604
AFMA,Australian Fisheries Management Authority,APS1,48830,57064
AFSA,Australian Financial Security Authority,APS1,50941,56302
AG,Attorney-General's Department,APS1,50984,56345
AHL,Aboriginal Hostels Ltd,APS1,48863,48863
AHRC,Australian Human Rights Commission,APS1,48384,54524
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS1,46641,50744
AIFS,Australian Institute of Family Studies,APS1,48842,53981
AIHW,Australian Institute of Health & Welfare,APS1,48826,54774
ALRC,Australian Law Reform Commission,APS1,47885,56792
ANAO,Australian National Audit Office,APS1,51312,62375
ANMM,Australian National Maritime Museum,APS1,47885,50812
APSC,Australian Public Service Commission,APS1,48729,50409
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS1,53985,56731
ARC,Australian Research Council,APS1,53044,54402
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS1,49929,56754
ASEA,Asbestos Safety & Eradication Agency,APS1,51955,56805
ASQA,Australian Skills Quality Authority,APS1,53487,54377
ATO,Australian Taxation Office,APS1,52506,57988
ATSB,Australian Transport Safety Bureau,APS1,50119,55204
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS1,53481,58525
AUSTRADE,Austrade,APS1,55919,55919
AWM,Australian War Memorial,APS1,47861,52893
BOM,Bureau of Meteorology,APS1,48022,53438
Cancer,Cancer Australia,APS1,48862,54514
CCA,Climate Change Authority,APS1,50328,53848
CER,Clean Energy Regulator,APS1,51572,58494
CGC,Commonwealth Grants Commission,APS1,49099,54986
Comcare,Comcare,APS1,51562,56400
DAFF,"Department of Agriculture, Fisheries & Forestry",APS1,48952,51888
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS1,48952,51888
Defence,Department of Defence,APS1,50227,56382
DESE,Department of Education,APS1,53262,58237
DEWR,Department of Employment & Workplace Relations,APS1,53262,58237
DFAT,Department of Foreign Affairs & Trade,APS1,51260,55983
DFSVA,"Domestic, Family & Sexual Violence Commission",APS1,48072,53795
DHA,Defence Housing Australia,APS1,55293,61832
DPP,Office of the Director of Public Prosecutions,APS1,48905,54792
DSS,Department of Social Services,APS1,49514,55409
DTA,Digital Transformation Agency,APS1,50336,55277
DVA,Department of Veterans' Affairs,APS1,51737,57956
FED,Federal Court of Australia,APS1,47776,52800
Finance,Department of Finance,APS1,51407,59288
FSANZ,Food Standards Australia New Zealand,APS1,49454,55468
FWC,Fair Work Commission,APS1,52418,54488
GBRMPA,Great Barrier Reef Marine Park Authority,APS1,45205,56259
Geoscience,Geoscience Australia,APS1,47884,47884
Health,Department of Health,APS1,49612,55719
Home Affairs,Department of Home Affairs,APS1,48693,53957
Industry,"Department of Industry, Science & Resources",APS1,51179,56129
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS1,50014,55089
IPA,IP Australia,APS1,50512,56036
IPEA,Independent Parliamentary Expenses Authority,APS1,50399,57871
MDBA,Murray-Darling Basin Authority,APS1,50229,54666
NAA,National Archives of Australia,APS1,50146,55172
NBA,National Blood Authority,APS1,48998,55046
NCA,National Capital Authority,APS1,45547,50340
NDIA,National Disability Insurance Agency,APS1,47610,54478
NDISQSC,NDIS Quality & Safeguards Commission,APS1,48862,54376
NEMA,National Recovery & Resilience Agency,APS1,50386,55092
NFRA,National Faster Rail Agency,APS1,50014,55089
NFSA,National Film & Sound Archive of Australia,APS1,47979,52944
NHFB,National Health Funding Body,APS1,48683,54678
NHMRC,National Health & Medical Research Council,APS1,48168,54096
NIAA,National Indigenous Australians Agency,APS1,52266,57150
NLA,National Library of Australia,APS1,48123,53189
NMA,National Museum of Australia,APS1,47585,52593
NMHC,National Mental Health Commission,APS1,50297,55279
NPG,National Portrait Gallery of Australia,APS1,50995,56356
NQWIA,North Queensland Water Infrastructure Authority,APS1,50014,55089
OAIC,Office of the Australian Information Commissioner,APS1,49266,55861
OFWO,Fair Work Ombudsman,APS1,54449,56582
OIGIS,Office of the Inspector-General of Intelligence & Security,APS1,52353,56085
OIGOT,Inspector-General of Taxation,APS1,50996,55378
OMB,Office of the Commonwealth Ombudsman,APS1,48741,53873
ONI,Office of National Intelligence,APS1,53272,58689
OPC,Office of Parliamentary Counsel,APS1,51784,57230
OPH,Old Parliament House,APS1,47553,53431
OTA,Organ & Tissue Authority,APS1,49613,55719
PC,Productivity Commission,APS1,46849,52157
PMC,Department of the Prime Minister & Cabinet,APS1,52266,57150
PSR,Professional Services Review,APS1,47971,53874
RAM,Royal Australian Mint,APS1,50224,54084
SA,Screen Australia,APS1,47692,52709
Services Australia,Services Australia,APS1,51471,55188
SIA,Sport Integrity Australia,APS1,48862,50794
SWA,Safe Work Australia,APS1,53568,58573
TEQSA,Tertiary Education Quality & Standards Agency,APS1,51290,56080
Treasury,Treasury,APS1,51003,55385
TSRA,Torres Strait Regional Authority,APS1,48862,53205
WGEA,Workplace Gender Equality Agency,APS1,51103,56183
AAT,Administrative Appeals Tribunal,APS2,56106,63116
ABCC,Australian Building & Construction Commission,APS2,61232,67056
ABS,Australian Bureau of Statistics,APS2,54592,61556
ACCC,Australian Competition & Consumer Commission,APS2,58842,65250
ACIAR,Australian Centre for International Agricultural Research,APS2,57342,63392
ACIC,Australian Criminal Intelligence Commission,APS2,56273,62399
ACLEI,Australian Commission for Law Enforcement Integrity,APS2,56304,62433
ACMA,Australian Communications & Media Authority,APS2,56096,61879
ACQSC,Aged Care Quality & Safety Commission,APS2,56902,62096
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS2,57979,63269
ADHA,Australian Digital Health Agency,APS2,57814,63090
AEC,Australian Electoral Commission,APS2,55913,62004
AFMA,Australian Fisheries Management Authority,APS2,61178,65298
AFSA,Australian Financial Security Authority,APS2,57653,63929
AG,Attorney-General's Department,APS2,57700,63983
AHL,Aboriginal Hostels Ltd,APS2,52893,54690
AHRC,Australian Human Rights Commission,APS2,56266,61914
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS2,51688,57619
AIFS,Australian Institute of Family Studies,APS2,56798,61294
AIHW,Australian Institute of Health & Welfare,APS2,56778,62194
ALRC,Australian Law Reform Commission,APS2,58496,63918
ANAO,Australian National Audit Office,APS2,62376,67904
ANMM,Australian National Maritime Museum,APS2,51835,57698
APSC,Australian Public Service Commission,APS2,55673,62100
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS2,59996,65782
ARC,Australian Research Council,APS2,57344,62295
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS2,58456,64172
ASEA,Asbestos Safety & Eradication Agency,APS2,61022,65025
ASQA,Australian Skills Quality Authority,APS2,60099,62245
ATO,Australian Taxation Office,APS2,59374,65804
ATSB,Australian Transport Safety Bureau,APS2,56760,62664
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS2,60542,66598
AUSTRADE,Austrade,APS2,58154,60481
AWM,Australian War Memorial,APS2,55361,60055
BOM,Bureau of Meteorology,APS2,55448,60769
Cancer,Cancer Australia,APS2,56731,61908
CCA,Climate Change Authority,APS2,55164,60128
CER,Clean Energy Regulator,APS2,61422,65540
CGC,Commonwealth Grants Commission,APS2,59419,63551
Comcare,Comcare,APS2,57940,64158
DAFF,"Department of Agriculture, Fisheries & Forestry",APS2,56208,63417
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS2,56208,63417
Defence,Department of Defence,APS2,56843,63903
DESE,Department of Education,APS2,62558,66664
DEWR,Department of Employment & Workplace Relations,APS2,62558,66664
DFAT,Department of Foreign Affairs & Trade,APS2,59342,64086
DFSVA,"Domestic, Family & Sexual Violence Commission",APS2,56184,62520
DHA,Defence Housing Australia,APS2,62903,67966
DPP,Office of the Director of Public Prosecutions,APS2,56480,62100
DSS,Department of Social Services,APS2,57870,64396
DTA,Digital Transformation Agency,APS2,56630,62769
DVA,Department of Veterans' Affairs,APS2,60165,65811
FED,Federal Court of Australia,APS2,54069,59959
Finance,Department of Finance,APS2,59029,67554
FSANZ,Food Standards Australia New Zealand,APS2,55965,62983
FWC,Fair Work Commission,APS2,59452,65110
GBRMPA,Great Barrier Reef Marine Park Authority,APS2,56484,63491
Geoscience,Geoscience Australia,APS2,54629,58371
Health,Department of Health,APS2,57984,63275
Home Affairs,Department of Home Affairs,APS2,54439,61245
Industry,"Department of Industry, Science & Resources",APS2,57889,64575
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS2,56642,62531
IPA,IP Australia,APS2,58094,63609
IPEA,Independent Parliamentary Expenses Authority,APS2,57871,66228
MDBA,Murray-Darling Basin Authority,APS2,57839,62945
NAA,National Archives of Australia,APS2,57322,62528
NBA,National Blood Authority,APS2,57287,62513
NCA,National Capital Authority,APS2,52962,58878
NDIA,National Disability Insurance Agency,APS2,55423,62542
NDISQSC,NDIS Quality & Safeguards Commission,APS2,56790,63195
NEMA,National Recovery & Resilience Agency,APS2,59179,63063
NFRA,National Faster Rail Agency,APS2,56642,62531
NFSA,National Film & Sound Archive of Australia,APS2,54348,60010
NHFB,National Health Funding Body,APS2,56897,62089
NHMRC,National Health & Medical Research Council,APS2,56298,61434
NIAA,National Indigenous Australians Agency,APS2,61389,65417
NLA,National Library of Australia,APS2,55307,62706
NMA,National Museum of Australia,APS2,53853,59719
NMHC,National Mental Health Commission,APS2,56639,62980
NPG,National Portrait Gallery of Australia,APS2,57710,62437
NQWIA,North Queensland Water Infrastructure Authority,APS2,56642,62531
OAIC,Office of the Australian Information Commissioner,APS2,57290,61831
OFWO,Fair Work Ombudsman,APS2,61695,67520
OIGIS,Office of the Inspector-General of Intelligence & Security,APS2,57462,63898
OIGOT,Inspector-General of Taxation,APS2,58780,62672
OMB,Office of the Commonwealth Ombudsman,APS2,55162,61170
ONI,Office of National Intelligence,APS2,60052,67510
OPC,Office of Parliamentary Counsel,APS2,58601,64987
OPH,Old Parliament House,APS2,56636,60036
OTA,Organ & Tissue Authority,APS2,57985,63276
PC,Productivity Commission,APS2,53560,61911
PMC,Department of the Prime Minister & Cabinet,APS2,61389,65417
PSR,Professional Services Review,APS2,55420,61180
RAM,Royal Australian Mint,APS2,56241,61409
SA,Screen Australia,APS2,54624,59852
Services Australia,Services Australia,APS2,57517,62074
SIA,Sport Integrity Australia,APS2,53517,63194
SWA,Safe Work Australia,APS2,62918,67083
TEQSA,Tertiary Education Quality & Standards Agency,APS2,60242,64196
Treasury,Treasury,APS2,58787,62681
TSRA,Torres Strait Regional Authority,APS2,54483,60413
WGEA,Workplace Gender Equality Agency,APS2,57738,63635
AAT,Administrative Appeals Tribunal,APS3,66437,68975
ABCC,Australian Building & Construction Commission,APS3,68903,74304
ABS,Australian Bureau of Statistics,APS3,62193,70107
ACCC,Australian Competition & Consumer Commission,APS3,67018,72339
ACIAR,Australian Centre for International Agricultural Research,APS3,65064,70083
ACIC,Australian Criminal Intelligence Commission,APS3,65103,70266
ACLEI,Australian Commission for Law Enforcement Integrity,APS3,64129,69214
ACMA,Australian Communications & Media Authority,APS3,63748,69324
ACQSC,Aged Care Quality & Safety Commission,APS3,65758,72888
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS3,67002,74265
ADHA,Australian Digital Health Agency,APS3,66811,74054
AEC,Australian Electoral Commission,APS3,63686,69793
AFMA,Australian Fisheries Management Authority,APS3,66966,72781
AFSA,Australian Financial Security Authority,APS3,65666,70871
AG,Attorney-General's Department,APS3,64431,69536
AHL,Aboriginal Hostels Ltd,APS3,59814,60627
AHRC,Australian Human Rights Commission,APS3,62371,68636
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS3,58826,63876
AIFS,Australian Institute of Family Studies,APS3,62955,69192
AIHW,Australian Institute of Health & Welfare,APS3,64575,70654
ALRC,Australian Law Reform Commission,APS3,65838,71942
ANAO,Australian National Audit Office,APS3,67905,73437
ANMM,Australian National Maritime Museum,APS3,58103,63968
APSC,Australian Public Service Commission,APS3,64859,66878
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS3,66364,74774
ARC,Australian Research Council,APS3,64042,67677
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS3,66560,74475
ASEA,Asbestos Safety & Eradication Agency,APS3,68146,70979
ASQA,Australian Skills Quality Authority,APS3,66835,67942
ATO,Australian Taxation Office,APS3,67577,72908
ATSB,Australian Transport Safety Bureau,APS3,64758,69925
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS3,67604,73658
AUSTRADE,Austrade,APS3,62900,70757
AWM,Australian War Memorial,APS3,61356,66580
BOM,Bureau of Meteorology,APS3,61449,67299
Cancer,Cancer Australia,APS3,65561,72669
CCA,Climate Change Authority,APS3,61394,67724
CER,Clean Energy Regulator,APS3,68358,73998
CGC,Commonwealth Grants Commission,APS3,64569,69798
Comcare,Comcare,APS3,66128,71783
DAFF,"Department of Agriculture, Fisheries & Forestry",APS3,63867,71444
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS3,63867,71444
Defence,Department of Defence,APS3,64749,71343
DESE,Department of Education,APS3,69863,72767
DEWR,Department of Employment & Workplace Relations,APS3,69863,72767
DFAT,Department of Foreign Affairs & Trade,APS3,67249,73298
DFSVA,"Domestic, Family & Sexual Violence Commission",APS3,64930,70451
DHA,Defence Housing Australia,APS3,69389,76886
DPP,Office of the Director of Public Prosecutions,APS3,62520,68748
DSS,Department of Social Services,APS3,66878,72565
DTA,Digital Transformation Agency,APS3,64406,69584
DVA,Department of Veterans' Affairs,APS3,67915,72957
FED,Federal Court of Australia,APS3,61586,66469
Finance,Department of Finance,APS3,65616,75690
FSANZ,Food Standards Australia New Zealand,APS3,63746,70303
FWC,Fair Work Commission,APS3,66902,72144
GBRMPA,Great Barrier Reef Marine Park Authority,APS3,63942,70078
Geoscience,Geoscience Australia,APS3,62233,66163
Health,Department of Health,APS3,67008,74273
Home Affairs,Department of Home Affairs,APS3,61915,71136
Industry,"Department of Industry, Science & Resources",APS3,65011,70489
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS3,64622,69778
IPA,IP Australia,APS3,65308,70873
IPEA,Independent Parliamentary Expenses Authority,APS3,64329,74204
MDBA,Murray-Darling Basin Authority,APS3,66524,72270
NAA,National Archives of Australia,APS3,64408,69789
NBA,National Blood Authority,APS3,66200,73381
NCA,National Capital Authority,APS3,60236,65972
NDIA,National Disability Insurance Agency,APS3,62967,70522
NDISQSC,NDIS Quality & Safeguards Commission,APS3,65631,71211
NEMA,National Recovery & Resilience Agency,APS3,66088,68837
NFRA,National Faster Rail Agency,APS3,64622,69778
NFSA,National Film & Sound Archive of Australia,APS3,61803,68834
NHFB,National Health Funding Body,APS3,65752,72881
NHMRC,National Health & Medical Research Council,APS3,65059,72111
NIAA,National Indigenous Australians Agency,APS3,68556,71408
NLA,National Library of Australia,APS3,64041,69173
NMA,National Museum of Australia,APS3,61337,66203
NMHC,National Mental Health Commission,APS3,64797,69779
NPG,National Portrait Gallery of Australia,APS3,64445,69551
NQWIA,North Queensland Water Infrastructure Authority,APS3,64622,69778
OAIC,Office of the Australian Information Commissioner,APS3,63508,68543
OFWO,Fair Work Ombudsman,APS3,69365,74767
OIGIS,Office of the Inspector-General of Intelligence & Security,APS3,65740,70795
OIGOT,Inspector-General of Taxation,APS3,66563,70450
OMB,Office of the Commonwealth Ombudsman,APS3,62831,67814
ONI,Office of National Intelligence,APS3,68143,73401
OPC,Office of Parliamentary Counsel,APS3,66748,72043
OPH,Old Parliament House,APS3,62041,67794
OTA,Organ & Tissue Authority,APS3,67009,74274
PC,Productivity Commission,APS3,61018,74870
PMC,Department of the Prime Minister & Cabinet,APS3,68556,71408
PSR,Professional Services Review,APS3,64151,70953
RAM,Royal Australian Mint,APS3,64549,69086
SA,Screen Australia,APS3,62230,68769
Services Australia,Services Australia,APS3,63760,71062
SIA,Sport Integrity Australia,APS3,65280,73224
SWA,Safe Work Australia,APS3,70257,73171
TEQSA,Tertiary Education Quality & Standards Agency,APS3,67277,70075
Treasury,Treasury,APS3,66570,70457
TSRA,Torres Strait Regional Authority,APS3,62050,66973
WGEA,Workplace Gender Equality Agency,APS3,65709,70867
AAT,Administrative Appeals Tribunal,APS4,71223,77331
ABCC,Australian Building & Construction Commission,APS4,76717,83253
ABS,Australian Bureau of Statistics,APS4,70166,78923
ACCC,Australian Competition & Consumer Commission,APS4,74703,81109
ACIAR,Australian Centre for International Agricultural Research,APS4,74329,78362
ACIC,Australian Criminal Intelligence Commission,APS4,71560,77699
ACLEI,Australian Commission for Law Enforcement Integrity,APS4,71470,77604
ACMA,Australian Communications & Media Authority,APS4,71401,77612
ACQSC,Aged Care Quality & Safety Commission,APS4,74501,78720
ACSQHC,Australian Commission on Safety & Quality in Health Care,APS4,75910,80208
ADHA,Australian Digital Health Agency,APS4,75695,79981
AEC,Australian Electoral Commission,APS4,70982,77785
AFMA,Australian Fisheries Management Authority,APS4,75684,80919
AFSA,Australian Financial Security Authority,APS4,73187,79462
AG,Attorney-General's Department,APS4,71807,77966
AHL,Aboriginal Hostels Ltd,APS4,67366,67974
AHRC,Australian Human Rights Commission,APS4,69513,76955
AIATSIS,Australian Institute of Aboriginal & Torres Strait Islander Studies,APS4,65614,71621
AIFS,Australian Institute of Family Studies,APS4,70165,76183
AIHW,Australian Institute of Health & Welfare,APS4,72379,78392
ALRC,Australian Law Reform Commission,APS4,74098,80972
ANAO,Australian National Audit Office,APS4,73819,81131
ANMM,Australian National Maritime Museum,APS4,64756,71715
APSC,Australian Public Service Commission,APS4,71429,76885
APVMA,Australian Pesticides & Veterinary Medicines Authority,APS4,75302,82960
ARC,Australian Research Council,APS4,71997,76084
ARPANSA,Australian Radiation Protection & Nuclear Safety Agency,APS4,76711,80160
ASEA,Asbestos Safety & Eradication Agency,APS4,74128,79277
ASQA,Australian Skills Quality Authority,APS4,71747,75886
ATO,Australian Taxation Office,APS4,75279,81703
ATSB,Australian Transport Safety Bureau,APS4,71753,77969
AUSTRAC,Australian Transaction Reports & Analysis Centre,APS4,74670,82743
AUSTRADE,Austrade,APS4,73584,79962
AWM,Australian War Memorial,APS4,68656,74648
BOM,Bureau of Meteorology,APS4,68878,75532
Cancer,Cancer Australia,APS4,74277,78482
CCA,Climate Change Authority,APS4,68989,74053
CER,Clean Energy Regulator,APS4,76817,81045
CGC,Commonwealth Grants Commission,APS4,74763,78149
Comcare,Comcare,APS4,73692,80595
DAFF,"Department of Agriculture, Fisheries & Forestry",APS4,72002,78386
DCCEEW,"Department of Climate Change, Energy, the Environment & Water",APS4,72002,78386
Defence,Department of Defence,APS4,73343,80071
DESE,Department of Education,APS4,75996,81274
DEWR,Department of Employment & Workplace Relations,APS4,75996,81274
DFAT,Department of Foreign Affairs & Trade,APS4,75357,80336
DFSVA,"Domestic, Family & Sexual Violence Commission",APS4,73563,79070
DHA,Defence Housing Australia,APS4,77958,84295
DPP,Office of the Director of Public Prosecutions,APS4,69586,76980
DSS,Department of Social Services,APS4,75770,81442
DTA,Digital Transformation Agency,APS4,72190,78019
DVA,Department of Veterans' Affairs,APS4,76696,81802
FED,Federal Court of Australia,APS4,68643,74529
Finance,Department of Finance,APS4,74012,84472
FSANZ,Food Standards Australia New Zealand,APS4,71048,78285
FWC,Fair Work Commission,APS4,74488,80834
GBRMPA,Great Barrier Reef Marine Park Authority,APS4,70941,78223
Geoscience,Geoscience Australia,APS4,70093,77117
Health,Department of Health,APS4,75917,80215
Home Affairs,Department of Home Affairs,APS4,71201,76799
Industry,"Department of Industry, Science & Resources",APS4,72967,78763
Infrastructure,"Department of Infrastructure, Transport, Regional Development & Communications",APS4,71600,77807
IPA,IP Australia,APS4,72669,78765
IPEA,Independent Parliamentary Expenses Authority,APS4,72560,82815
MDBA,Murray-Darling Basin Authority,APS4,74294,80711
NAA,National Archives of Australia,APS4,71767,77333
NBA,National Blood Authority,APS4,75005,79253
NCA,National Capital Authority,APS4,67519,74063
NDIA,National Disability Insurance Agency,APS4,71085,78900
NDISQSC,NDIS Quality & Safeguards Commission,APS4,74357,79924
NEMA,National Recovery & Resilience Agency,APS4,71890,76884
NFRA,National Faster Rail Agency,APS4,71600,77807
NFSA,National Film & Sound Archive of Australia,APS4,69736,74400
NHFB,National Health Funding Body,APS4,74495,78712
NHMRC,National Health & Medical Research Council,APS4,73710,77880
NIAA,National Indigenous Australians Agency,APS4,74575,79755
NLA,National Library of Australia,APS4,70342,75954
NMA,National Museum of Australia,APS4,69437,74229
NMHC,National Mental Health Commission,APS4,72047,78387
NPG,National Portrait Gallery of Australia,APS4,71821,77982
NQWIA,North Queensland Water Infrastructure Authority,APS4,71600,77807
OAIC,Office of the Australian Information Commissioner,APS4,73032,77599
OFWO,Fair Work Ombudsman,APS4,77180,83715
OIGIS,Office of the Inspector-General of Intelligence & Security,APS4,73095,79529
OIGOT,Inspector-General of Taxation,APS4,74344,78235
OMB,Office of the Commonwealth Ombudsman,APS4,70027,76031
ONI,Office of National Intelligence,APS4,75740,83500
OPC,Office of Parliamentary Counsel,APS4,74393,80775
OPH,Old Parliament House,APS4,69832,75327
OTA,Organ & Tissue Authority,APS4,75918,80216
PC,Productivity Commission,APS4,69110,84371
PMC,Department of the Prime Minister & Cabinet,APS4,74575,79755
PSR,Professional Services Review,APS4,72539,77874
RAM,Royal Australian Mint,APS4,72112,76332
SA,Screen Australia,APS4,70086,74393
Services Australia,Services Australia,APS4,71063,78735
SIA,Sport Integrity Australia,APS4,77354,85060
SWA,Safe Work Australia,APS4,76421,82225
TEQSA,Tertiary Education Quality & Standards Agency,APS4,73177,78266
Treasury,Treasury,APS4,74354,78243
TSRA,Torres Strait Regional Authority,APS4,69157,75089
WGEA,Workplace Gender Equality Agency,APS4,72714,78921
AAT,Administrative Appeals Tribunal,APS5,79438,84238
